ipa	readable
(	l
)	a
a	i
aː	a
a̝	an
a̝ː	i
a͡ɪ	i
b	b
bʱ	b
b̥	i
bᵊ	b
c	al
d	d
dʲ	d
dː	dd
dːʰ	dh
d̠͡ɹ̠	d
d̠͡ʒ	ej
d̪	d
d̪ʱ	h
d͜ʒ	e
d͡ɹ	d
d͡ʒ	g
dᵊ	d
dⁿ	d
e	a
eː	a
eːː	ey
e̝	e
e̞	y
e̞ː	y
e̯	g
e͜ɪ	t
e͡ɪ	a
f	f
f͡s	fs
h	h
i	y
iː	e
i̯	c
i͡ə	i
j	u
jː	gh
j̥	u
k	c
kʰ	c
kʲ	k
kʼ	k
l	l
lʲ	l
lː	l
l̩	e
l͡s	s
m	m
mː	mm
m̩	m
m̩ː	mm
n	n
nʲ	n
nː	n
n̆	te
n̩	n
n̪	n
n̻	n
o	o
oː	o
o̞	i
p	p
pʰ	p
pʲ	p
pː	pp
p̪	pf
p͡fː	pff
q	q
qʰ	ca
q͡χ	q
s	s
sʰ	s
sː	s
sˠ	s
t	t
tʰ	t
tʲ	et
tː	ht
t̚	t
t̪	t
t̪ʰ	t
t̪ˠ	t
t̪͆	he
t̬	i
t͜ʃ	t
t͡s	z
t͡sʲ	s
t͡ʃ	c
t͡ʃʰ	c
t͡ʃː	c
u	u
uː	u
uːʷ	o
u̯	w
v	v
vː	e
w	w
wʱ	w
x	h
y	ü
yː	u
z	s
zː	s
ã	n
ä	a
äː	a
ä̝	uc
æ	a
æː	a
æ̃	n
æ̝	a
æ̞	a
ç	h
ð	h
ðᵊ	he
õ	s
ö̞ː	o
ø	ö
øː	ir
ü	u
ĩ	im
ĭ	i
ŋ	g
ŋ̩	en
ō	o
œ	e
ǁ	ǁ
ɐ	a
ɐː	a
ɐ̞	u
ɐ̞ː	r
ɐ̯	k
ɑ	a
ɑː	a
ɑ̃	n
ɑ̃ː	a
ɑ̟	a
ɒ	o
ɒː	o
ɒ̃	n
ɒ̃ː	ng
ɓ	b
ɔ	o
ɔː	o
ɔːː	aa
ɔ̀	o
ɔ̃	n
ɔ̃ː	n
ɔ͡ɪ	y
ɖ	d
ɘ	r
ɘː	e
ɘ̞	n
ə	a
əʴ	r
əː	r
ə̃	a
ə̆	e
ə̯	n
ə͡l	l
ə͡ʊ	o
ɚ	r
ɚː	o
ɚ̞	ea
ɚ̯	e
ɛ	e
ɛˀ	e
ɛː	a
ɛ̀	e
ɛ̃	a
ɛ̈	is
ɛ̝	e
ɛ̝ː	a
ɛ̟	i
ɜ	e
ɜː	r
ɜˑ	ur
ɜ̃	n
ɝ	r
ɝː	r
ɟ	j
ɡ	g
ɡʰ	gh
ɡᵊ	g
ɣ	h
ɤ̯	l
ɦ	h
ɨ	e
ɨ̞	u
ɪ	i
ɪː	e
ɪ̈	e
ɪ̝	ee
ɪ̟	e
ɪ̯	t
ɫ	l
ɫ̩	e
ɬ	l
ɭ	l
ɱ	n
ɲ	g
ɳ	n
ɵ	o
ɵː	or
ɵ̞	o
ɸ	ph
ɸː	ph
ɹ	r
ɹː	r
ɹ̝̊	hr
ɹ̠	r
ɹ̩	r
ɻ	r
ɽ	r
ɾ	r
ɾ̃	te
ɾ̪̊	hr
ʁ	ru
ʃ	i
ʃʲ	sh
ʃː	c
ʃ̩ː	shh
ʃ͡ɹ	ř
ʈ	t
ʉ	u
ʉː	oo
ʉ̀	o
ʉ́	t
ʉ̯	o
ʊ	o
ʊː	o
ʊ̆	o
ʊ̈	u
ʊ̯	o
ʊ͡ə	r
ʋ	v
ʌ	u
ʌː	h
ʌːː	u
ʌ̈	ub
ʌ̯	a
ʍ	w
ʏ	ü
ʒ	e
ʔ	a
ʙ	b
ʰᵿʰ	ʰᵿʰ
˞	r
˞ː	r
˧˥	a
̩	p
θ	h
χ	c
ᵐb	b
ᵻ	i
ᵿ	u
⁽ʲ	p
⁾	i
↓	h
